행정시명,업체명,소재지,신고일자,데이터기준일자
제주시,24시동물병원,제주특별자치도 제주시 연삼로 353 (도남동),2003-11-08,2024-02-27
제주시,24시똑똑똑 동물메디컬센터,제주특별자치도 제주시 도령로 129 (연동),2018-03-30,2024-02-27
제주시,KRA 렛츠런파크제주 동물병원,제주특별자치도 제주시 애월읍 평화로 2144 한국마사회제주경마본부,2008-10-08,2024-02-27
제주시,강남동물병원,제주특별자치도 제주시 중앙로 106 (삼도이동),2003-12-05,2024-02-27
제주시,교래 말 전문병원,제주특별자치도 제주시 구좌읍 세화경마루길 14-14,2003-05-12,2024-02-27
제주시,국립축산과학원 난지축산연구소 동물병원,제주특별자치도 제주시 산록북로 593-40 제17호 건물 (오등동),2017-04-17,2024-02-27
제주시,굿데이 동물병원,제주특별자치도 제주시 한림읍 금악동길 220-9,2018-04-04,2024-02-27
제주시,나아라 동물병원,제주특별자치도 제주시 중앙로 536 (아라일동),2015-09-10,2024-02-27
제주시,나음동물병원,제주특별자치도 제주시 연북로 18 노형이타스 2 (노형동),2017-06-21,2024-02-27
제주시,노형 꿈 동물병원,제주특별자치도 제주시 월광로 32 (노형동),2021-12-03,2024-02-27
제주시,노형동물병원,제주특별자치도 제주시 1100로 3213-27 (노형동 천마에코피아2차),2015-12-22,2024-02-27
제주시,다나동물병원,제주특별자치도 제주시 동광로 119 (일도이동),1998-05-14,2024-02-27
제주시,동물병원 퍼피하우스,제주특별자치도 제주시 용담로17길 12 (용담일동),2009-03-20,2024-02-27
제주시,동심동물병원,제주특별자치도 제주시 노연로 141 (연동),1994-06-11,2024-02-27
제주시,라이프동물병원,제주특별자치도 제주시 노형3길 21-1 (노형동),2018-12-29,2024-02-27
제주시,로얄말전문병원,제주특별자치도 제주시 조천읍 비자림로 970-17,2014-11-27,2024-02-27
제주시,리더스동물병원,제주특별자치도 제주시 노연로 131 두성빌딩 (연동),2012-08-23,2024-02-27
제주시,마리네 동물병원,제주특별자치도 제주시 애월읍 광상로 323-20,2016-08-31,2024-02-27
제주시,마야동물병원,제주특별자치도 제주시 조천읍 남조로 1760,2014-03-13,2024-02-27
제주시,마음동물병원,제주특별자치도 제주시 조공포길 27 (외도일동),2021-10-21,2024-02-27
제주시,백록동물병원,제주특별자치도 제주시 우령서로 89 (외도일동 해마루풍경),2013-10-18,2024-02-27
제주시,봄이든 동물병원,제주특별자치도 제주시 애월읍 일주서로 7143,2014-12-26,2024-02-27
제주시,브이동물메디컬센터,제주특별자치도 제주시 노형14길 14 1층 (노형동),2020-11-20,2024-02-27
제주시,사랑동물병원,제주특별자치도 제주시 애월읍 일주서로 6254-3 1층,2021-12-23,2024-02-27
제주시,삼화동물병원,제주특별자치도 제주시 건주로4길 28 1층 (도련일동),2022-02-10,2024-02-27
제주시,삼화 우수한동물병원,제주특별자치도 제주시 건주로 65 삼광빌딩 (도련일동),2018-03-05,2024-02-27
제주시,삼화 훈 동물병원,제주특별자치도 제주시 동화로 12 1층 (화북일동),2019-05-02,2024-02-27
제주시,서사라동물병원,제주특별자치도 제주시 서사로 148-1 (삼도일동),2006-04-10,2024-02-27
제주시,서원동물병원,제주특별자치도 제주시 일주동로 38 (화북이동),2008-10-27,2024-02-27
제주시,송동물병원,제주특별자치도 제주시 일주동로 185 (화북일동),2001-07-09,2024-02-27
제주시,수동물병원,제주특별자치도 제주시 서사로 91-1 (삼도일동),2014-06-09,2024-02-27
제주시,신제주동물병원,제주특별자치도 제주시 과원북4길 7 (노형동),1995-12-13,2024-02-27
제주시,씨엔에프 팜테크,제주특별자치도 제주시 일주서로 7800 (연동),2018-10-16,2024-02-27
제주시,아라동물병원,제주특별자치도 제주시 중앙로 581 (아라일동),2015-01-28,2024-02-27
제주시,예서동물병원,제주특별자치도 제주시 수덕로 13 (노형동 노형이화2차아파트),2013-01-02,2024-02-27
제주시,우리동물병원(산업),제주특별자치도 제주시 한림읍 산록남로 53 성이시돌피정의집,2002-01-28,2024-02-27
